Actions,WIID,Description,Type,Status,Date
,77793854,Process Vendor Invoice,WI3,Open,2018-02-26
,77793831,Generate Yearly Report for Vendor,WI4,Open,2020-02-06
,77793863,Research Client Check Copy,WI2,Open,2019-10-01
,77793869,Research Client Check Copy,WI2,Open,2017-09-01
,77793883,Research Client Check Copy,WI2,Open,2021-01-31
,77793851,Process Vendor Invoice,WI3,Open,2017-04-14
,77793839,Generate Yearly Report for Vendor,WI4,Open,2021-12-08
,77793905,Verify Account Position,WI1,Open,2020-06-09
,77793824,Calculate Client Security Hash,WI5,Open,2018-08-11
,77793909,Verify Account Position,WI1,Open,2020-09-10
,77793887,Research Client Check Copy,WI2,Open,2020-10-05
,77793913,Verify Account Position,WI1,Open,2021-08-29
,77793859,Process Vendor Invoice,WI3,Open,2018-01-13
,77793823,Calculate Client Security Hash,WI5,Open,2019-05-10
,77793826,Calculate Client Security Hash,WI5,Open,2020-10-31
,77793866,Research Client Check Copy,WI2,Open,2021-10-01
,77793857,Process Vendor Invoice,WI3,Open,2019-10-26
,77793911,Verify Account Position,WI1,Open,2017-10-21
,77793821,Calculate Client Security Hash,WI5,Open,2021-11-17
,77793879,Research Client Check Copy,WI2,Open,2019-01-06
,77793886,Research Client Check Copy,WI2,Open,2021-10-04
,77793896,Verify Account Position,WI1,Open,2018-06-06
,77793902,Verify Account Position,WI1,Open,2020-01-01
,77793822,Calculate Client Security Hash,WI5,Open,2018-11-21
,77793836,Generate Yearly Report for Vendor,WI4,Open,2020-11-24
,77793878,Research Client Check Copy,WI2,Open,2020-01-16
,77793841,Generate Yearly Report for Vendor,WI4,Open,2020-06-15
,77793868,Research Client Check Copy,WI2,Open,2020-07-22
,77793910,Verify Account Position,WI1,Open,2021-07-21
,77793888,Research Client Check Copy,WI2,Open,2017-12-13
,77793867,Research Client Check Copy,WI2,Open,2021-05-05
,77793864,Research Client Check Copy,WI2,Open,2020-06-19
,77793904,Verify Account Position,WI1,Open,2017-11-18
,77793890,Research Client Check Copy,WI2,Open,2018-06-29
,77793820,Calculate Client Security Hash,WI5,Open,2018-02-03
,77793832,Generate Yearly Report for Vendor,WI4,Open,2020-01-19
,77793848,Generate Yearly Report for Vendor,WI4,Open,2018-04-05
,77793873,Research Client Check Copy,WI2,Open,2019-04-02
,77793849,Generate Yearly Report for Vendor,WI4,Open,2019-12-04
,77793834,Generate Yearly Report for Vendor,WI4,Open,2017-01-31
,77793872,Research Client Check Copy,WI2,Open,2021-01-04
,77793906,Verify Account Position,WI1,Open,2020-12-13
,77793885,Research Client Check Copy,WI2,Open,2017-04-16
,77793893,Verify Account Position,WI1,Open,2020-01-10
,77793830,Calculate Client Security Hash,WI5,Open,2017-12-26
,77793828,Calculate Client Security Hash,WI5,Open,2019-02-14
,77793912,Verify Account Position,WI1,Open,2020-06-20
,77793907,Verify Account Position,WI1,Open,2017-07-27
,77793891,Verify Account Position,WI1,Open,2019-12-06
,77793898,Verify Account Position,WI1,Open,2021-01-03
,77793903,Verify Account Position,WI1,Open,2020-06-22
,77793843,Generate Yearly Report for Vendor,WI4,Open,2017-10-27
,77793852,Process Vendor Invoice,WI3,Open,2018-03-09
,77793825,Calculate Client Security Hash,WI5,Open,2018-03-09
,77793876,Research Client Check Copy,WI2,Open,2017-03-24
,77793908,Verify Account Position,WI1,Open,2020-10-23
,77793870,Research Client Check Copy,WI2,Open,2020-05-06
,77793846,Generate Yearly Report for Vendor,WI4,Open,2017-10-16
,77793894,Verify Account Position,WI1,Open,2020-03-13
,77793884,Research Client Check Copy,WI2,Open,2020-12-17
,77793899,Verify Account Position,WI1,Open,2018-04-15
,77793889,Research Client Check Copy,WI2,Open,2017-11-14
,77793853,Process Vendor Invoice,WI3,Open,2020-05-26
,77793895,Verify Account Position,WI1,Open,2020-01-28
,77793865,Research Client Check Copy,WI2,Open,2018-02-15
,77793874,Research Client Check Copy,WI2,Open,2017-12-22
,77793861,Process Vendor Invoice,WI3,Open,2020-03-22
,77793833,Generate Yearly Report for Vendor,WI4,Open,2019-07-03
,77793875,Research Client Check Copy,WI2,Open,2018-09-07
,77793835,Generate Yearly Report for Vendor,WI4,Open,2017-01-22
,77793856,Process Vendor Invoice,WI3,Open,2019-05-06
,77793847,Generate Yearly Report for Vendor,WI4,Open,2021-05-02
,77793858,Process Vendor Invoice,WI3,Open,2017-10-01
,77793844,Generate Yearly Report for Vendor,WI4,Open,2019-09-04
,77793840,Generate Yearly Report for Vendor,WI4,Open,2021-05-18
,77793900,Verify Account Position,WI1,Open,2019-08-21
,77793860,Process Vendor Invoice,WI3,Open,2020-06-25
,77793901,Verify Account Position,WI1,Open,2017-12-17
,77793838,Generate Yearly Report for Vendor,WI4,Open,2019-12-14
,77793877,Research Client Check Copy,WI2,Open,2021-09-18
,77793881,Research Client Check Copy,WI2,Open,2021-01-18
,77793862,Process Vendor Invoice,WI3,Open,2018-08-13
,77793842,Generate Yearly Report for Vendor,WI4,Open,2017-07-10
,77793882,Research Client Check Copy,WI2,Open,2018-12-20
,77793845,Generate Yearly Report for Vendor,WI4,Open,2018-01-06
,77793829,Calculate Client Security Hash,WI5,Open,2020-11-01
,77793892,Verify Account Position,WI1,Open,2018-07-18
,77793837,Generate Yearly Report for Vendor,WI4,Open,2021-03-18
,77793897,Verify Account Position,WI1,Open,2021-05-19
,77793871,Research Client Check Copy,WI2,Open,2019-09-29
,77793827,Calculate Client Security Hash,WI5,Open,2017-09-24
,77793880,Research Client Check Copy,WI2,Open,2019-06-29
,77793855,Process Vendor Invoice,WI3,Open,2021-12-04
,77793850,Generate Yearly Report for Vendor,WI4,Open,2018-07-10
